halal_status,name,source
unknown,Nestle,Muslim consumer group product list
halal,Nestle,Muslim consumer group product list
halal,Indian Summer,Muslim consumer group product list
halal,Sunsweet,Muslim consumer group product list
haram,Sunsweet,Muslim consumer group product list
halal,Kern's,Muslim consumer group product list
haram,Langers,Muslim consumer group product list
haram,Langers,Muslim consumer group product list
halal,Dole,Muslim consumer group product list
halal,Dole,Muslim consumer group product list
halal,Dole,Muslim consumer group product list
haram,V8,Muslim consumer group product list
haram,Suave,Muslim consumer group product list
haram,Suave,Muslim consumer group product list
unknown,Lady Speed,Muslim consumer group product list
halal,Speed Stick,Muslim consumer group product list
haram,Arm & Hammer,Muslim consumer group product list
haram,Speed Stick,Muslim consumer group product list
haram,Speed Stick,Muslim consumer group product list
haram,Men Degree,Muslim consumer group product list
haram,Dove,Muslim consumer group product list
unknown,Right Guard,Muslim consumer group product list
unknown,Right Guard,Muslim consumer group product list
haram,Axe,Muslim consumer group product list
haram,Axe,Muslim consumer group product list
halal,Gillette,Muslim consumer group product list
halal,Gillette,Muslim consumer group product list
haram,Arid,Muslim consumer group product list
haram,Burt,Muslim consumer group product list
haram,Burt,Muslim consumer group product list
haram,Degree,Muslim consumer group product list
haram,Ban,Muslim consumer group product list
haram,Ban,Muslim consumer group product list
haram,Ban,Muslim consumer group product list
halal,Walgreens,Muslim consumer group product list
halal,Ex-lax,Muslim consumer group product list
halal,Nutra Molecular,Muslim consumer group product list
halal,Phillips,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
haram,Campbells,Muslim consumer group product list
halal,Campbells,Muslim consumer group product list
halal,Campbells,Muslim consumer group product list
halal,Dry Idea,Muslim consumer group product list
haram,Secret,Muslim consumer group product list
halal,Signature Kitchens,Muslim consumer group product list
halal,Neosporin,Muslim consumer group product list
haram,Dove,Muslim consumer group product list
haram,Dove,Muslim consumer group product list
haram,Dove,Muslim consumer group product list
halal,Dry Idea,Muslim consumer group product list
halal,Mitchum,Muslim consumer group product list
halal,Mitchum,Muslim consumer group product list
halal,Mitchum,Muslim consumer group product list
halal,Almay,Muslim consumer group product list
halal,Toms Of Main,Muslim consumer group product list
halal,Toms Of Main,Muslim consumer group product list
haram,Kikkoman,Muslim consumer group product list
haram,Kikkoman,Muslim consumer group product list
haram,La Choy,Muslim consumer group product list
halal,La Choy,Muslim consumer group product list
halal,La Choy,Muslim consumer group product list
haram,Kikkoman,Muslim consumer group product list
haram,Kikkoman,Muslim consumer group product list
haram,Kikkoman,Muslim consumer group product list
haram,Kikkoman,Muslim consumer group product list
haram,Kikkoman,Muslim consumer group product list
halal,Kern's,Muslim consumer group product list
halal,Campbells,Muslim consumer group product list
unknown,Campbells,Muslim consumer group product list
haram,Clamato,Muslim consumer group product list
halal,Campbells,Muslim consumer group product list
halal,Utopia,Muslim consumer group product list
halal,Dei Fratelli,Muslim consumer group product list
halal,Red Gold,Muslim consumer group product list
halal,Red Gold,Muslim consumer group product list
halal,Sacramento,Muslim consumer group product list
halal,Delmonte,Muslim consumer group product list
haram,Excedrin,Muslim consumer group product list
halal,Ecotrin,Muslim consumer group product list
halal,Anacin,Muslim consumer group product list
halal,Bayer,Muslim consumer group product list
halal,Bayer,Muslim consumer group product list
unknown,Bayer,Muslim consumer group product list
halal,Bayer,Muslim consumer group product list
halal,Bayer,Muslim consumer group product list
halal,Bayer,Muslim consumer group product list
halal,Walgreen,Muslim consumer group product list
halal,Bayer,Muslim consumer group product list
haram,St. Joseph,Muslim consumer group product list
halal,Zahlers,Muslim consumer group product list
halal,Zahlers,Muslim consumer group product list
unknown,Nestle,Muslim consumer group product list
haram,Nestle,Muslim consumer group product list
haram,Nestle,Muslim consumer group product list
haram,Nestle,Muslim consumer group product list
halal,Archway,Muslim consumer group product list
halal,Archway,Muslim consumer group product list
haram,Archway,Muslim consumer group product list
haram,Archway,Muslim consumer group product list
haram,Archway,Muslim consumer group product list
haram,Archway,Muslim consumer group product list
halal,Archway,Muslim consumer group product list
haram,Archway,Muslim consumer group product list
haram,Archway,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
unknown,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Gonnella,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
unknown,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
halal,Lance,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
halal,Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
halal,Trader Joe,Muslim consumer group product list
halal,Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
haram,Lance,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Great Value,Muslim consumer group product list
haram,Murry,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Murry,Muslim consumer group product list
haram,Murry,Muslim consumer group product list
halal,Murry,Muslim consumer group product list
haram,Murry,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Murry,Muslim consumer group product list
haram,Kelloggs,Muslim consumer group product list
