name,halal_status,source
 KSB DISTRIBUTION PTE LTD,halal,singapore halal directory
 HUP HENG POULTRY INDUSTRIES PTE LTD,halal,singapore halal directory
 N & N AGRICULTURE PTE LTD,halal,singapore halal directory
 CHILLI API CATERING PTE LTD,halal,singapore halal directory
 EATZI GOURMET PTE LTD,halal,singapore halal directory
 HIAP GIAP FOOD MANUFACTURE PTE LTD,halal,singapore halal directory
 KATES CATERING PTE LTD,halal,singapore halal directory
 KWONG CHEONG THYE PTE LTD,halal,singapore halal directory
 NGO CHEW HONG EDIBLE OIL PTE LTD,halal,singapore halal directory
 SENG HUAT BEAN CURD PTE LTD,halal,singapore halal directory
 SIAM COCONUT PTE LTD,halal,singapore halal directory
 SIN LI-HIN FROZEN FOOD PTE LTD,halal,singapore halal directory
 UNIVA AROMATICS PTE LTD,halal,singapore halal directory
 AL ANSAR FOOD PRODUCTS PTE LTD,halal,singapore halal directory
" ASAM TREE CAFE, BAKERY & RESTAURANT",halal,singapore halal directory
 BOONG POULTRY PTE LTD,halal,singapore halal directory
 CHUAN HIAP HIN SAUCE FACTORY PTE LTD,halal,singapore halal directory
 CHUAN LECK FOOD INDUSTRIES PTE LTD,halal,singapore halal directory
 DELI ASIA (S) PTE LTD,halal,singapore halal directory
 DELI HUB CATERING PTE LTD,halal,singapore halal directory
 ENAK ENAK HONGKONG TEA HOUSE PTE LTD,halal,singapore halal directory
 ENG BEE FOODSTUFFS MFG PTE LTD,halal,singapore halal directory
 FONG YIT KAYA PTE LTD,halal,singapore halal directory
 GOLDEN PILLOW 933 PTE LTD,halal,singapore halal directory
 GREEN-TECH EGG INDUSTRIES PTE LTD,halal,singapore halal directory
 HA LI FA PTE LTD,halal,singapore halal directory
 HAIS PTE LTD,halal,singapore halal directory
 HALALHUB CONSULTANTS PTE LTD,halal,singapore halal directory
 HANIFAA FROZEN FOOD PTE LTD,halal,singapore halal directory
 HAY DAIRIES PTE LTD,halal,singapore halal directory
 HEN TICK FOODS PTE LTD,halal,singapore halal directory
 HONG KONG NOODLE MFG (S) PTE LTD,halal,singapore halal directory
 KEE SONG FOOD CORPORATION (S) PTE LTD,halal,singapore halal directory
 LEE WEE & BROTHERS FOODSTUFF PTE LTD,halal,singapore halal directory
 LEONG GUAN FOOD MANUFACTURER PTE LTD,halal,singapore halal directory
 LIM TRADERS PTE LTD,halal,singapore halal directory
 MENG CHONG FOODSTUFFS PTE LTD,halal,singapore halal directory
 MOHAMAD ARMIYA FOOD INDUSTRY PTE LTD,halal,singapore halal directory
 SAGA FOODSTUFFS MANUFACTURING (PTE) LTD,halal,singapore halal directory
 SELVI MILLS (S) PTE LTD,halal,singapore halal directory
 SENG CHOON FARM PTE LTD,halal,singapore halal directory
 SINMAH POULTRY PROCESSING (S) PTE LTD,halal,singapore halal directory
 SMH FOODS ENTERPRISE,halal,singapore halal directory
 SULTAN BURGER ENTERPRISE PTE LTD,halal,singapore halal directory
 SULTANA TRADERS,halal,singapore halal directory
 SWEE HENG BAKERY PTE LTD,halal,singapore halal directory
 SWEETEST MOMENTS PTE LTD,halal,singapore halal directory
 TAI THONG FOOD MFG PTE LTD,halal,singapore halal directory
 TANG TEA HOUSE HONG KONG CAFE,halal,singapore halal directory
 TENDERFRESH FRIED & BBQ CHICKEN PTE LTD,halal,singapore halal directory
 TONG HUAT POULTRY PROCESSING FACTORY PTE LTD,halal,singapore halal directory
 AJINOMOTO (SINGAPORE) PTE LTD,halal,singapore halal directory
 ASIAN KITCHEN @ ORCHARD HOTEL,halal,singapore halal directory
 AVANTI FOOD INDUSTRIES PTE LTD,halal,singapore halal directory
 BAN HONG POULTRY PTE LTD,halal,singapore halal directory
